DEBUG: | 0x18 - test 4, 4 | tick : 0x53 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
DEBUG: | 0x19 - be 29 | tick : 0x54 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x55 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x56 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x57 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xa | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x58 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xb | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
DEBUG: | 0x1c - jmp 23 | tick : 0x59 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xb | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x5a -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xb | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xa | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x5b -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xb | r4 : 0x79 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xb | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x5c -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0xb | r4 : 0x6f | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0xb | zf : 0 | nf : 0 |
